Ticker,Nome,Setor,Subsetor,Segmento,Desc_Bazin,Desc_Graham,Desc_Gordon,Indice_PEG,Preco,DY,LPA,VPA,Risco,Payout,ROE,CAGR_lucros_5anos,Cresc_esperado,Media_Crescimento
SIMH3,Simpar,Financeiro,Holdings Diversificadas,Holdings Diversificadas,0.33235000000000003,-2.654131614722413,-37.30434782608696,-1.55,8.67,0.0023,0.06,4.17,0.0881,0.33235000000000003,0.0148,0.0,0.00988122,0.00988122
SLCE3,SLC Agricola,Consumo não Cíclico,Agropecuária,Agricultura,22.560000000000002,0.28062903941844713,2.9337429352459807,-0.52,18.8,0.07200000000000001,2.59,11.72,0.0881,0.5226254826254827,0.2213,0.2641,0.10564298069498068,0.18487149034749034
SLED3,Saraiva Livr,Consumo Cíclico,Comércio,Produtos Diversos,0.0,0.0,0.0,-0.02,3.21,0.0,7.15,0.0,0.0881,0.0,-0.1807,0.0,-0.1807,-0.1807
SLED4,Saraiva Livr,Consumo Cíclico,Comércio,Produtos Diversos,0.0,0.0,0.0,-0.01,1.6,0.0,7.15,0.0,0.0881,0.0,-0.1807,0.0,-0.1807,-0.1807
SMFT3,Smart Fit,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,5.863483333333333,-1.1445071528819097,-5.338129496402877,-0.12,25.31,0.0139,0.77,8.04,0.0881,0.4568948051948052,0.0959,0.0,0.052083788181818184,0.052083788181818184
SMLS3,,,,,0.0,-0.40001093762817547,0.0,-0.33,22.4,0.0,2.08,5.47,0.0881,0.0,0.3796,0.0,0.3796,0.3796
SMTO3,Sao Martinho,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,20.685599999999997,0.2634292347418848,2.981212687457998,-0.76,26.52,0.046799999999999994,3.45,16.7,0.0881,0.3597495652173912,0.20629999999999998,0.1993,0.1320836646956522,0.16569183234782608
SNSY3,Sansuy,Materiais Básicos,Materiais Diversos,Materiais Diversos,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,0.0881,0.0,-0.1519,0.0,-0.1519,-0.1519
SNSY5,Sansuy,Materiais Básicos,Materiais Diversos,Materiais Diversos,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0881,0.0,-0.1519,0.0,-0.1519,-0.1519
SNSY6,Sansuy,Materiais Básicos,Materiais Diversos,Materiais Diversos,0.0,0.0,0.0,-0.01,13.33,0.0,0.0,0.0,0.0881,0.0,-0.1519,0.0,-0.1519,-0.1519
SOJA3,Boa Safra,Consumo não Cíclico,Agropecuária,Agricultura,16.012533333333334,0.05525771774564611,-0.4781879194630872,0.21,16.12,0.0596,1.64,7.89,0.0881,0.5858243902439025,0.20809999999999998,0.0,0.08618994439024387,0.08618994439024387
SOMA3,Grupo Soma,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,1.6921666666666666,0.22620475061698578,12.843863425180698,-27.66,7.15,0.014199999999999999,0.39,9.73,0.0881,0.2603333333333333,0.04,0.3081,0.029586666666666667,0.16884333333333332
SOND3,Sondotecnica,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,92.32673333333334,0.10877982570380655,2.415303669075026,-0.89,46.01,0.1204,5.06,23.41,0.0881,1.0947833992094862,0.2162,0.3116,-0.020492170909090918,0.14555391454545452
SOND5,Sondotecnica,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,101.61,-0.04598759860887738,2.5093229562146426,-1.05,54.0,0.11289999999999999,5.06,23.41,0.0881,1.2048616600790514,0.2162,0.3116,-0.04429109090909091,0.13365445454545455
SOND6,Sondotecnica,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,101.57915000000001,-0.12327446006164447,2.621337409673008,-1.12,57.99,0.1051,5.06,23.41,0.0881,1.2044958498023717,0.2162,0.3116,-0.044212002727272756,0.1336939986363636
SPRI3,,,,,0.0,0.0,0.0,-0.01,21.72,0.0,0.0,8.86,0.0881,0.0,-0.7382,0.0,-0.7382,-0.7382
SPRI5,,,,,0.0,0.0,0.0,0.0,8.52,0.0,0.0,8.86,0.0881,0.0,-0.7382,0.0,-0.7382,-0.7382
SPRI6,,,,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.86,0.0881,0.0,-0.7382,0.0,-0.7382,-0.7382
SPRT3B,,,,,0.0,-607.7697716876511,0.0,-8.9,76.4,0.0,0.07,0.01,0.0881,0.0,6.207000000000001,0.0,6.207000000000001,6.207000000000001
SQIA3,Sinqia,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.9123333333333334,0.0,-43.04999999999999,0.44,27.37,0.002,0.0,7.4,0.0881,inf,-0.0335,0.0,0.0,0.0
SRNA3,,,,,0.0,-1.4918508249429907,0.0,,9.55,0.0,0.08,8.16,0.0881,0.0,0.0102,0.0,0.0102,0.0102
STBP3,Santos Brp,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,6.608750000000001,-0.8002159175053991,-1.072941176470588,-15.19,9.33,0.0425,0.47,2.54,0.0881,0.8436702127659576,0.18359999999999999,0.0,0.02870214893617019,0.02870214893617019
STKF3,Statkraft,Utilidade Pública,Energia Elétrica,Energia Elétrica,0.0,1.0,0.0,0.0,0.0,0.0,0.62,5.7,0.0881,0.0,0.1084,1.1496,0.1084,0.629
STTR3,Stara,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,0.0,1.0,0.0,0.0,0.0,0.0,0.94,2.91,0.0881,0.0,0.321,0.0,0.321,0.321
SULA11,Sul America,Financeiro,Previdência e Seguros,Seguradoras,0.0,-0.6141124478162158,0.0,-0.94,22.25,0.0,0.43,19.64,0.0881,0.0,0.0217,0.0,0.0217,0.0217
SULA3,Sul America,Financeiro,Previdência e Seguros,Seguradoras,0.0,-0.6357347756869433,0.0,-0.95,7.43,0.0,0.14,6.55,0.0881,0.0,0.0217,0.0,0.0217,0.0217
SULA4,Sul America,Financeiro,Previdência e Seguros,Seguradoras,0.0,-0.6797653214658651,0.0,-0.97,7.63,0.0,0.14,6.55,0.0881,0.0,0.0217,0.0,0.0217,0.0217
SUZB3,Suzano S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose,19.411166666666666,0.4483444048362522,14.81272134011999,-0.62,52.7,0.022099999999999998,12.86,31.54,0.0881,0.09056531881804043,0.4079,0.5661999999999999,0.3709584064541213,0.4685792032270606
SYNE3,Syn Prop Tec,Financeiro,Exploração de Imóveis,Exploração de Imóveis,0.0,0.0,0.0,0.17,4.45,0.0,0.0,9.9,0.0881,0.0,-0.026000000000000002,0.0,-0.026000000000000002,-0.026000000000000002
TAEE11,Taesa,Utilidade Pública,Energia Elétrica,Energia Elétrica,37.379133333333336,0.00920734013361038,1.4822533753243226,-0.3,37.63,0.0596,3.32,19.31,0.0881,0.6755265060240965,0.172,0.12029999999999999,0.0558094409638554,0.0880547204819277
TAEE3,Taesa,Utilidade Pública,Energia Elétrica,Energia Elétrica,12.440700000000001,0.020677091520187724,1.478241284015468,-0.29,12.42,0.0601,1.11,6.44,0.0881,0.6724702702702703,0.172,0.12029999999999999,0.05633511351351351,0.08831755675675675
TAEE4,Taesa,Utilidade Pública,Energia Elétrica,Energia Elétrica,12.445416666666668,0.010426529676196068,1.4830638851988174,-0.3,12.55,0.059500000000000004,1.11,6.44,0.0881,0.6727252252252253,0.172,0.12029999999999999,0.05629126126126125,0.08829563063063062
TASA3,Taurus Armas,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,23.255833333333335,0.22291023330129373,0.06871035940803395,-0.13,14.75,0.0946,1.83,8.75,0.0881,0.7624863387978142,0.2087,0.0,0.04956910109289617,0.04956910109289617
TASA4,Taurus Armas,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,23.26066666666667,0.22027603070231502,0.06574761399787912,-0.13,14.8,0.0943,1.83,8.75,0.0881,0.7626448087431693,0.2087,0.0,0.04953602841530056,0.04953602841530056
TCNO3,Tecnosolo,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,0.0,0.0,0.0,-0.28,1.2,0.0,0.0,0.0,0.0881,0.0,-1.1162999999999998,0.0,-1.1162999999999998,-1.1162999999999998
TCNO4,Tecnosolo,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,0.0,0.0,0.0,-0.2,0.85,0.0,0.0,0.0,0.0881,0.0,-1.1162999999999998,0.0,-1.1162999999999998,-1.1162999999999998
TCSA3,Tecnisa,Consumo Cíclico,Construção Civil,Incorporações,0.0,0.45278408092841294,0.0,-0.13,3.45,0.0,0.22,8.03,0.0881,0.0,0.0279,0.0,0.0279,0.0279
TECN3,Technos,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,1.3663666666666667,0.6210398768286318,-2.8471615720524017,0.11,3.58,0.0229,0.74,5.36,0.0881,0.1107864864864865,0.1389,0.0,0.12351175702702702,0.12351175702702702
TEKA3,Teka,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,0.0,0.0,0.0,0.0,8.23,0.0,0.0,0.0,0.0881,0.0,-0.07429999999999999,0.0,-0.07429999999999999,-0.07429999999999999
TEKA4,Teka,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,0.0,0.0,0.0,0.0,20.61,0.0,0.0,0.0,0.0881,0.0,-0.07429999999999999,0.0,-0.07429999999999999,-0.07429999999999999
TELB3,Telebras,Comunicações,Telecomunicações,Telecomunicações,0.0,0.0,0.0,0.36,15.46,0.0,0.0,18.37,0.0881,0.0,-0.042800000000000005,0.0,-0.042800000000000005,-0.042800000000000005
